ngens,dimension,sigma,mean,std
10,6,0.1,44.590434504156875,12.980877578170084
10,6,0.2,39.051941945984446,8.627260912576029
10,6,0.30000000000000004,24.82190499346115,8.037040653512381
10,6,0.4,13.675014350262813,5.151641759895217
10,6,0.5,12.230582275168697,3.6676000749774627
10,6,0.6,9.318926476847233,2.677149181201087
10,6,0.7000000000000001,10.64071054184971,3.986207545280192
10,6,0.8,11.657741655079075,2.233522655960222
10,6,0.9,11.785121391937592,1.302855530506729
10,6,1.0,11.656750672166869,2.6909365522140756
100,6,0.1,42.78296102194808,14.717192688779308
100,6,0.2,42.583969210529425,14.869764463270409
100,6,0.30000000000000004,29.450631278220232,7.949655985351042
100,6,0.4,2.58689052575111,3.0569662114823415
100,6,0.5,0.0,0.0
100,6,0.6,0.19899181141865796,0.397983622837316
100,6,0.7000000000000001,0.0,0.0
100,6,0.8,0.0,0.0
100,6,0.9,0.0,0.0
100,6,1.0,0.2008524683554299,0.4017049367108598
1000,6,0.1,51.14054617876759,13.650779507447602
1000,6,0.2,49.74761766857269,12.395024214646439
1000,6,0.30000000000000004,42.514508094731944,13.72452869094216
1000,6,0.4,41.39000506009291,23.38962184307652
1000,6,0.5,10.745519428989821,17.018086416760433
1000,6,0.6,1.1939508685119988,1.1603116798503355
1000,6,0.7000000000000001,1.5919344913493163,0.7959672456746226
1000,6,0.8,1.7909263027679843,1.3199623496576727
1000,6,0.9,1.9899181141866378,1.5413839433122054
1000,6,1.0,1.1939508685119862,1.1603116798503317
5000,6,0.1,49.94660947999126,12.669907173554261
5000,6,0.2,51.33953799018617,13.880898419443918
5000,6,0.30000000000000004,50.94155436734886,14.313467590931213
5000,6,0.4,44.57385785792805,13.22050047110194
5000,6,0.5,29.05264652806636,24.039132593227418
5000,6,0.6,12.536424343655508,8.641742295389887
5000,6,0.7000000000000001,5.372771846269442,3.806927701477879
5000,6,0.8,8.357641955514982,7.5143860969514185
5000,6,0.9,12.536447755972945,6.967519993597083
5000,6,1.0,10.745543701626518,4.422805011310698
