ngens,dimension,crossover_type,tsize,pmut,mean,std
10,6,uniform_crossover,2,0.1,3.705074165664237,0.7579060400643931
10,6,uniform_crossover,2,0.4,4.312994283538645,0.8486199945720071
10,6,uniform_crossover,2,0.7,4.925909790740027,0.7206679622661577
10,6,uniform_crossover,2,1.0,6.40360537708642,1.1827716944356883
10,6,uniform_crossover,4,0.1,0.6300244980721302,0.2027708990794373
10,6,uniform_crossover,4,0.4,1.0369104509329474,0.3600681131657682
10,6,uniform_crossover,4,0.7,1.4360863356467675,0.33659168986533106
10,6,uniform_crossover,4,1.0,2.945180524220423,0.23577666819677176
10,6,uniform_crossover,6,0.1,0.1010004367094524,0.048234936684706825
10,6,uniform_crossover,6,0.4,0.15363338682398223,0.031468979671898004
10,6,uniform_crossover,6,0.7,0.8967119064783702,0.30962215641363744
10,6,uniform_crossover,6,1.0,2.0392340600034897,0.48335284720159705
10,6,uniform_crossover,8,0.1,0.0509149695865986,0.019090381972660157
10,6,uniform_crossover,8,0.4,0.08644361678936434,0.059795154571641716
10,6,uniform_crossover,8,0.7,0.2697142466999324,0.08688139780763891
10,6,uniform_crossover,8,1.0,1.5757772932197838,0.45911985894766394
10,6,order1_crossover,2,0.1,5.574185982051486,1.3854661853187553
10,6,order1_crossover,2,0.4,7.312278626305225,1.964350929921988
10,6,order1_crossover,2,0.7,9.24689209294921,1.4657263776924425
10,6,order1_crossover,2,1.0,9.738307517335233,1.593692901070306
10,6,order1_crossover,4,0.1,2.3338230491732532,0.4656586277565378
10,6,order1_crossover,4,0.4,2.3708926175768283,0.8304360724049726
10,6,order1_crossover,4,0.7,3.4349076358237185,0.7490282531698453
10,6,order1_crossover,4,1.0,4.3779327850244245,1.5652240783292601
10,6,order1_crossover,6,0.1,0.7003384845753317,0.23590658483123883
10,6,order1_crossover,6,0.4,1.0920381186136012,0.2792714823906226
10,6,order1_crossover,6,0.7,1.9739166492665021,0.4735272682412025
10,6,order1_crossover,6,1.0,2.766979557589141,0.41851783392791847
10,6,order1_crossover,8,0.1,0.7267354053197195,0.43427507222081685
10,6,order1_crossover,8,0.4,0.5430030819778864,0.34530735087487247
10,6,order1_crossover,8,0.7,1.2480406288707215,0.6068552427149482
